Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Modulo,Tipo_Dispositivo,Duracion_Horas_Minutos,Duracion_Minutos
MATEMATICAS APLICADAS Y COMPUTACION,C05,C18,2024-10-17 17:15:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:30,90
MATEMATICAS APLICADAS Y COMPUTACION,C01,L04,2024-10-17 17:14:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:31,91
MATEMATICAS APLICADAS Y COMPUTACION,C01,L02,2024-10-17 17:07:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:38,98
INGENIERIA CIVIL,C01,C01,2024-10-17 17:05:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:40,100
CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,C02,C30,2024-10-17 17:04:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:41,101
INGENIERIA CIVIL,C05,C16,2024-10-17 16:59:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:46,106
MATEMATICAS APLICADAS Y COMPUTACION,C02,C29,2024-10-17 16:52:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:53,113
MATEMATICAS APLICADAS Y COMPUTACION,C01,L01,2024-10-17 16:51:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:54,114
ARQUITECTURA,C04,L28,2024-10-17 16:50:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:55,115
ARQUITECTURA,C05,C15,2024-10-17 16:47:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:58,118
RELACIONES INTERNACIONALES,C02,C28,2024-10-17 16:37:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:08,128
ARQUITECTURA,C05,C14,2024-10-17 16:25:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:20,140
COMUNICACION,C05,C13,2024-10-17 16:20:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:25,145
ARQUITECTURA,C04,L09,2024-10-16 17:32:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:13,73
INGENIERIA CIVIL,C04,L08,2024-10-16 17:31:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:14,74
SOCIOLOGIA,C05,C03,2024-10-16 17:30:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:15,75
ARQUITECTURA,C04,L07,2024-10-16 17:26:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:19,79
ARQUITECTURA,C04,L05,2024-10-16 17:22:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:23,83
ACTUARIA,C02,L06,2024-10-16 17:20:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:25,85
ECONOMIA,C02,C25,2024-10-16 17:18:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:27,87
ACTUARIA,C01,L20,2024-10-16 17:17:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:28,88
DISEÃ‘O GRAFICO,C04,L04,2024-10-16 17:15:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:30,90
ARQUITECTURA,C04,L03,2024-10-16 17:15:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:30,90
MATEMATICAS APLICADAS Y COMPUTACION,C01,L19,2024-10-16 17:09:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:36,96
MATEMATICAS APLICADAS Y COMPUTACION,C01,L17,2024-10-16 17:09:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:36,96
MATEMATICAS APLICADAS Y COMPUTACION,C05,C02,2024-10-16 17:06:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:39,99
ACTUARIA,C02,C24,2024-10-16 17:01:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:44,104
MATEMATICAS APLICADAS Y COMPUTACION,C01,L13,2024-10-16 17:01:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:44,104
MATEMATICAS APLICADAS Y COMPUTACION,C01,L12,2024-10-16 17:01:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:44,104
PROFESOR,C01,L11,2024-10-16 17:00:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:45,105
MATEMATICAS APLICADAS Y COMPUTACION,C01,L10,2024-10-16 16:59:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:46,106
INGENIERIA CIVIL,C04,L02,2024-10-16 16:57:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:48,108
MATEMATICAS APLICADAS Y COMPUTACION,C02,C23,2024-10-16 16:45:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:00,120
MATEMATICAS APLICADAS Y COMPUTACION,C01,L09,2024-10-16 16:45:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,2:00,120
ACTUARIA,C05,C01,2024-10-16 16:30:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:15,135
MATEMATICAS APLICADAS Y COMPUTACION,C02,C22,2024-10-16 16:29:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:16,136
ACTUARIA,C01,L08,2024-10-16 16:27:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,2:18,138
RELACIONES INTERNACIONALES,C02,C21,2024-10-16 16:18:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:27,147
ARQUITECTURA,C05,C11,2024-10-15 17:34:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:11,71
ARQUITECTURA,C04,L08,2024-10-15 17:33:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:12,72
MATEMATICAS APLICADAS Y COMPUTACION,C01,L11,2024-10-15 17:34:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:11,71
ARQUITECTURA,C04,L07,2024-10-15 17:31:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:14,74
MATEMATICAS APLICADAS Y COMPUTACION,C01,L10,2024-10-15 17:24:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:21,81
DISEÃ‘O GRAFICO,C04,L05,2024-10-15 17:22:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:23,83
ARQUITECTURA,C04,L04,2024-10-15 17:23:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:22,82
DISEÃ‘O GRAFICO,C04,L03,2024-10-15 17:21:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:24,84
DISEÃ‘O GRAFICO,C04,L02,2024-10-15 17:19:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:26,86
MATEMATICAS APLICADAS Y COMPUTACION,C05,C09,2024-10-15 17:15:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:30,90
ARQUITECTURA,C04,L01,2024-10-15 17:14:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:31,91
INGENIERIA CIVIL,C04,L30,2024-10-15 17:10:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:35,95
MATEMATICAS APLICADAS Y COMPUTACION,C01,L09,2024-10-15 17:09:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:36,96
INGENIERIA CIVIL,C05,C10,2024-10-15 17:08:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:37,97
ARQUITECTURA,C04,L26,2024-10-15 17:09:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:36,96
INGENIERIA CIVIL,C04,L23,2024-10-15 17:07:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:38,98
ACTUARIA,C01,L08,2024-10-15 16:54:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:51,111
ACTUARIA,C05,C08,2024-10-15 16:53:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:52,112
ACTUARIA,C01,L07,2024-10-15 16:53:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:52,112
RELACIONES INTERNACIONALES,C01,C14,2024-10-15 16:47:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:58,118
INGENIERIA CIVIL,C05,C07,2024-10-15 16:44:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:01,121
RELACIONES INTERNACIONALES (SUA),C01,C13,2024-10-15 16:45:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:00,120
ECONOMIA,C01,C12,2024-10-15 16:28:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:17,137
RELACIONES INTERNACIONALES,C05,C06,2024-10-15 16:22:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:23,143
RELACIONES INTERNACIONALES,C05,C05,2024-10-15 16:19:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:26,146
ARQUITECTURA,C01,C11,2024-10-15 16:21:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:24,144
RELACIONES INTERNACIONALES,C05,C04,2024-10-15 16:16:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:29,149
ARQUITECTURA,C04,L20,2024-10-14 17:35:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:10,70
ARQUITECTURA,C04,L17,2024-10-14 17:33:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:12,72
ARQUITECTURA,C04,L13,2024-10-14 17:23:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:22,82
MATEMATICAS APLICADAS Y COMPUTACION,C02,L02,2024-10-14 17:22:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:23,83
ARQUITECTURA,C04,L09,2024-10-14 17:21:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:24,84
MATEMATICAS APLICADAS Y COMPUTACION,C01,C05,2024-10-14 17:21:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:24,84
DISEÃ‘O GRAFICO,C04,L08,2024-10-14 17:17:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:28,88
MATEMATICAS APLICADAS Y COMPUTACION,C02,L01,2024-10-14 17:16:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:29,89
ARQUITECTURA,C04,L07,2024-10-14 17:12:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:33,93
ARQUITECTURA,C04,L05,2024-10-14 17:12:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:33,93
ENSEÃ‘ANZA DE INGLES,C05,C18,2024-10-14 17:10:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:35,95
ACTUARIA,C01,C04,2024-10-14 17:06:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:39,99
ACTUARIA,C01,C03,2024-10-14 17:05:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:40,100
MATEMATICAS APLICADAS Y COMPUTACION,C02,L16,2024-10-14 17:04:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:41,101
CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,C01,C02,2024-10-14 17:04:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:41,101
ACTUARIA,C02,L10,2024-10-14 17:04:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:41,101
DISEÃ‘O GRAFICO,C01,C01,2024-10-14 17:01:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:44,104
MATEMATICAS APLICADAS Y COMPUTACION,C02,L08,2024-10-14 16:59:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:46,106
PROFESOR,C02,L07,2024-10-14 16:56:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:49,109
COMUNICACION,C05,C17,2024-10-14 16:44:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:01,121
ARQUITECTURA,C05,C16,2024-10-14 16:43:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:02,122
ECONOMIA,C02,L06,2024-10-14 16:42:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,2:03,123
