Carrera,Carrito,Equipo,Fecha_y_ hora_Prestamo,Fecha_y_ hora_Devolucion,Modulo,Tipo_Dispositivo,Duracion_Horas_Minutos,Duracion_Minutos
ARQUITECTURA,C04,L03,2024-10-18 16:30:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:15,135
ARQUITECTURA,C04,L02,2024-10-18 16:28:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:17,137
ENSEÃ‘ANZA DE INGLES,C06,E07,2024-10-18 16:20:00,2024-10-18 18:45:00,Módulo 2 A-11,Chromebook,2:25,145
ARQUITECTURA,C04,L01,2024-10-18 16:19:00,2024-10-18 18:45:00,Módulo 1 Explanada M@C,Laptop,2:26,146
ENSEÃ‘ANZA DE INGLES,C06,E06,2024-10-18 16:17:00,2024-10-18 18:45:00,Módulo 2 A-11,Chromebook,2:28,148
ARQUITECTURA,C04,L02,2024-10-17 17:32:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:13,73
MATEMATICAS APLICADAS Y COMPUTACION,C01,L06,2024-10-17 17:30:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:15,75
ARQUITECTURA,C04,L01,2024-10-17 17:29:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:16,76
MATEMATICAS APLICADAS Y COMPUTACION,C01,L05,2024-10-17 17:30:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:15,75
MATEMATICAS APLICADAS Y COMPUTACION,C05,C18,2024-10-17 17:15:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:30,90
DERECHO,C04,C25,2024-10-17 17:14:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:31,91
MATEMATICAS APLICADAS Y COMPUTACION,C01,L04,2024-10-17 17:14:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:31,91
DERECHO,C04,C24,2024-10-17 17:11:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:34,94
DERECHO,C04,C23,2024-10-17 17:08:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:37,97
MATEMATICAS APLICADAS Y COMPUTACION,C01,L02,2024-10-17 17:07:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:38,98
INGENIERIA CIVIL,C01,C01,2024-10-17 17:05:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:40,100
CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,C02,C30,2024-10-17 17:04:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:41,101
INGENIERIA CIVIL,C05,C16,2024-10-17 16:59:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:46,106
HISTORIA,C04,C22,2024-10-17 16:58:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:47,107
DERECHO,C04,C21,2024-10-17 16:58:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:47,107
ENSEÃ‘ANZA DE INGLES,C04,C20,2024-10-17 16:56:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:49,109
MATEMATICAS APLICADAS Y COMPUTACION,C02,C29,2024-10-17 16:52:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:53,113
MATEMATICAS APLICADAS Y COMPUTACION,C01,L01,2024-10-17 16:51:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:54,114
ENSEÃ‘ANZA DE INGLES,C04,C19,2024-10-17 16:53:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:52,112
DERECHO,C04,C18,2024-10-17 16:49:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:56,116
ARQUITECTURA,C04,L28,2024-10-17 16:50:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Laptop,1:55,115
CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,C04,C17,2024-10-17 16:49:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:56,116
PEDAGOGIA,C04,C16,2024-10-17 16:47:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,1:58,118
ARQUITECTURA,C05,C15,2024-10-17 16:47:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:58,118
ENSEÃ‘ANZA DE INGLES,C04,C15,2024-10-17 16:43:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,2:02,122
DERECHO,C04,C14,2024-10-17 16:40:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,2:05,125
RELACIONES INTERNACIONALES,C02,C28,2024-10-17 16:37:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:08,128
ENSEÃ‘ANZA DE INGLES,C04,C13,2024-10-17 16:36:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,2:09,129
DERECHO,C04,C12,2024-10-17 16:29:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,2:16,136
ENSEÃ‘ANZA DE INGLES,C04,C10,2024-10-17 16:28:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,2:17,137
ARQUITECTURA,C05,C14,2024-10-17 16:25:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:20,140
COMUNICACION,C05,C13,2024-10-17 16:20:00,2024-10-17 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:25,145
DERECHO (SUA),C04,C08,2024-10-17 16:19:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,2:26,146
PEDAGOGIA,C04,C07,2024-10-17 16:20:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,2:25,145
DERECHO,C04,C06,2024-10-17 16:22:00,2024-10-17 18:45:00,Módulo 2 A-11,Chromebook,2:23,143
ARQUITECTURA,C04,L09,2024-10-16 17:32:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:13,73
INGENIERIA CIVIL,C04,L08,2024-10-16 17:31:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:14,74
SOCIOLOGIA,C05,C03,2024-10-16 17:30:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:15,75
ARQUITECTURA,C04,L07,2024-10-16 17:26:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:19,79
DERECHO,C06,E04,2024-10-16 17:24:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,1:21,81
ARQUITECTURA,C04,L05,2024-10-16 17:22:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:23,83
ECONOMIA,C06,E03,2024-10-16 17:22:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,1:23,83
ACTUARIA,C02,L06,2024-10-16 17:20:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:25,85
ECONOMIA,C02,C25,2024-10-16 17:18:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:27,87
ACTUARIA,C01,L20,2024-10-16 17:17:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:28,88
DERECHO,C06,E02,2024-10-16 17:17:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,1:28,88
DISEÃ‘O GRAFICO,C04,L04,2024-10-16 17:15:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:30,90
ARQUITECTURA,C04,L03,2024-10-16 17:15:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:30,90
FILOSOFIA,C04,C30,2024-10-16 17:12:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,1:33,93
MATEMATICAS APLICADAS Y COMPUTACION,C01,L19,2024-10-16 17:09:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:36,96
DERECHO,C04,C29,2024-10-16 17:08:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,1:37,97
MATEMATICAS APLICADAS Y COMPUTACION,C01,L17,2024-10-16 17:09:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:36,96
MATEMATICAS APLICADAS Y COMPUTACION,C05,C02,2024-10-16 17:06:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:39,99
PEDAGOGIA,C04,C28,2024-10-16 17:06:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,1:39,99
ACTUARIA,C02,C24,2024-10-16 17:01:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:44,104
MATEMATICAS APLICADAS Y COMPUTACION,C01,L13,2024-10-16 17:01:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:44,104
MATEMATICAS APLICADAS Y COMPUTACION,C01,L12,2024-10-16 17:01:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:44,104
PROFESOR,C01,L11,2024-10-16 17:00:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:45,105
MATEMATICAS APLICADAS Y COMPUTACION,C01,L10,2024-10-16 16:59:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:46,106
INGENIERIA CIVIL,C04,L02,2024-10-16 16:57:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,1:48,108
DERECHO,C04,C27,2024-10-16 16:56:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,1:49,109
ARQUITECTURA,C05,L07,2024-10-16 16:58:00,2024-10-16 18:45:00,Módulo 2 A-11,Laptop,1:47,107
DERECHO,C04,C25,2024-10-16 16:48:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,1:57,117
MATEMATICAS APLICADAS Y COMPUTACION,C02,C23,2024-10-16 16:45:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:00,120
MATEMATICAS APLICADAS Y COMPUTACION,C01,L09,2024-10-16 16:45:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,2:00,120
ACTUARIA,C05,C01,2024-10-16 16:30:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:15,135
MATEMATICAS APLICADAS Y COMPUTACION,C02,C22,2024-10-16 16:29:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:16,136
ARQUITECTURA,C05,L05,2024-10-16 16:30:00,2024-10-16 18:45:00,Módulo 2 A-11,Laptop,2:15,135
ARQUITECTURA,C05,L03,2024-10-16 16:30:00,2024-10-16 18:45:00,Módulo 2 A-11,Laptop,2:15,135
ACTUARIA,C01,L08,2024-10-16 16:27:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Laptop,2:18,138
COMUNICACION,C04,C24,2024-10-16 16:27:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,2:18,138
PEDAGOGIA,C04,C23,2024-10-16 16:19:00,2024-10-16 18:45:00,Módulo 2 A-11,Chromebook,2:26,146
ARQUITECTURA,C05,L01,2024-10-16 16:23:00,2024-10-16 18:45:00,Módulo 2 A-11,Laptop,2:22,142
ARQUITECTURA,C05,L17,2024-10-16 16:23:00,2024-10-16 18:45:00,Módulo 2 A-11,Laptop,2:22,142
COMUNICACION,C05,L15,2024-10-16 16:20:00,2024-10-16 18:45:00,Módulo 2 A-11,Laptop,2:25,145
RELACIONES INTERNACIONALES,C02,C21,2024-10-16 16:18:00,2024-10-16 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:27,147
COMUNICACION,C05,L13,2024-10-16 16:17:00,2024-10-16 18:45:00,Módulo 2 A-11,Laptop,2:28,148
ARQUITECTURA,C05,L11,2024-10-16 16:16:00,2024-10-16 18:45:00,Módulo 2 A-11,Laptop,2:29,149
ARQUITECTURA,C05,C11,2024-10-15 17:34:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:11,71
ARQUITECTURA,C04,L08,2024-10-15 17:33:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:12,72
MATEMATICAS APLICADAS Y COMPUTACION,C01,L11,2024-10-15 17:34:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:11,71
ARQUITECTURA,C04,L07,2024-10-15 17:31:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:14,74
PEDAGOGIA,C06,E14,2024-10-15 17:29:00,2024-10-15 18:45:00,Módulo 2 A-11,Chromebook,1:16,76
MATEMATICAS APLICADAS Y COMPUTACION,C01,L10,2024-10-15 17:24:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:21,81
DISEÃ‘O GRAFICO,C04,L05,2024-10-15 17:22:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:23,83
ARQUITECTURA,C04,L04,2024-10-15 17:23:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:22,82
DISEÃ‘O GRAFICO,C04,L03,2024-10-15 17:21:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:24,84
PEDAGOGIA,C06,E13,2024-10-15 17:18:00,2024-10-15 18:45:00,Módulo 2 A-11,Chromebook,1:27,87
DISEÃ‘O GRAFICO,C04,L02,2024-10-15 17:19:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:26,86
PEDAGOGIA,C06,E12,2024-10-15 17:18:00,2024-10-15 18:45:00,Módulo 2 A-11,Chromebook,1:27,87
PEDAGOGIA,C06,E08,2024-10-15 17:15:00,2024-10-15 18:45:00,Módulo 2 A-11,Chromebook,1:30,90
MATEMATICAS APLICADAS Y COMPUTACION,C05,C09,2024-10-15 17:15:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:30,90
ARQUITECTURA,C04,L01,2024-10-15 17:14:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:31,91
INGENIERIA CIVIL,C04,L30,2024-10-15 17:10:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:35,95
DERECHO,C06,E07,2024-10-15 17:09:00,2024-10-15 18:45:00,Módulo 2 A-11,Chromebook,1:36,96
MATEMATICAS APLICADAS Y COMPUTACION,C01,L09,2024-10-15 17:09:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:36,96
INGENIERIA CIVIL,C05,C10,2024-10-15 17:08:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:37,97
ARQUITECTURA,C04,L26,2024-10-15 17:09:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:36,96
INGENIERIA CIVIL,C04,L23,2024-10-15 17:07:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:38,98
DERECHO,C02,T03,2024-10-15 17:05:00,2024-10-15 18:45:00,Módulo 2 A-11,iPad,1:40,100
DERECHO,C06,E06,2024-10-15 16:57:00,2024-10-15 18:45:00,Módulo 2 A-11,Chromebook,1:48,108
ACTUARIA,C01,L08,2024-10-15 16:54:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:51,111
ACTUARIA,C05,C08,2024-10-15 16:53:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:52,112
ACTUARIA,C01,L07,2024-10-15 16:53:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Laptop,1:52,112
ARQUITECTURA,C05,L09,2024-10-15 16:54:00,2024-10-15 18:45:00,Módulo 2 A-11,Laptop,1:51,111
RELACIONES INTERNACIONALES,C01,C14,2024-10-15 16:47:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:58,118
ARQUITECTURA,C05,L08,2024-10-15 16:47:00,2024-10-15 18:45:00,Módulo 2 A-11,Laptop,1:58,118
ARQUITECTURA,C05,L07,2024-10-15 16:47:00,2024-10-15 18:45:00,Módulo 2 A-11,Laptop,1:58,118
HISTORIA,C06,E05,2024-10-15 16:45:00,2024-10-15 18:45:00,Módulo 2 A-11,Chromebook,2:00,120
INGENIERIA CIVIL,C05,C07,2024-10-15 16:44:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:01,121
RELACIONES INTERNACIONALES (SUA),C01,C13,2024-10-15 16:45:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:00,120
DERECHO,C06,E04,2024-10-15 16:38:00,2024-10-15 18:45:00,Módulo 2 A-11,Chromebook,2:07,127
ECONOMIA,C01,C12,2024-10-15 16:28:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:17,137
RELACIONES INTERNACIONALES,C05,C06,2024-10-15 16:22:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:23,143
RELACIONES INTERNACIONALES,C05,C05,2024-10-15 16:19:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:26,146
ARQUITECTURA,C05,L06,2024-10-15 16:23:00,2024-10-15 18:45:00,Módulo 2 A-11,Laptop,2:22,142
ARQUITECTURA,C05,L05,2024-10-15 16:21:00,2024-10-15 18:45:00,Módulo 2 A-11,Laptop,2:24,144
ARQUITECTURA,C01,C11,2024-10-15 16:21:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:24,144
RELACIONES INTERNACIONALES,C05,C04,2024-10-15 16:16:00,2024-10-15 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:29,149
ARQUITECTURA,C04,L20,2024-10-14 17:35:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:10,70
ARQUITECTURA,C04,L17,2024-10-14 17:33:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:12,72
ARQUITECTURA,C04,L13,2024-10-14 17:23:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:22,82
MATEMATICAS APLICADAS Y COMPUTACION,C02,L02,2024-10-14 17:22:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:23,83
ARQUITECTURA,C04,L09,2024-10-14 17:21:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:24,84
MATEMATICAS APLICADAS Y COMPUTACION,C01,C05,2024-10-14 17:21:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:24,84
PEDAGOGIA,C04,C23,2024-10-14 17:18:00,2024-10-14 18:45:00,Módulo 2 A-11,Chromebook,1:27,87
DISEÃ‘O GRAFICO,C04,L08,2024-10-14 17:17:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:28,88
MATEMATICAS APLICADAS Y COMPUTACION,C02,L01,2024-10-14 17:16:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:29,89
DERECHO,C02,T06,2024-10-14 17:14:00,2024-10-14 18:45:00,Módulo 2 A-11,iPad,1:31,91
ARQUITECTURA,C04,L07,2024-10-14 17:12:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:33,93
ARQUITECTURA,C04,L05,2024-10-14 17:12:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:33,93
DERECHO,C04,C22,2024-10-14 17:11:00,2024-10-14 18:45:00,Módulo 2 A-11,Chromebook,1:34,94
ENSEÃ‘ANZA DE INGLES,C05,C18,2024-10-14 17:10:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:35,95
ECONOMIA,C04,C21,2024-10-14 17:12:00,2024-10-14 18:45:00,Módulo 2 A-11,Chromebook,1:33,93
ACTUARIA,C01,C04,2024-10-14 17:06:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:39,99
ACTUARIA,C01,C03,2024-10-14 17:05:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:40,100
MATEMATICAS APLICADAS Y COMPUTACION,C02,L16,2024-10-14 17:04:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:41,101
CIENCIAS POLITICAS Y ADMINISTRACION PUBLICA,C01,C02,2024-10-14 17:04:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:41,101
ACTUARIA,C02,L10,2024-10-14 17:04:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:41,101
DISEÃ‘O GRAFICO,C01,C01,2024-10-14 17:01:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,1:44,104
MATEMATICAS APLICADAS Y COMPUTACION,C02,L08,2024-10-14 16:59:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:46,106
PROFESOR,C02,L07,2024-10-14 16:56:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,1:49,109
DERECHO,C02,T05,2024-10-14 16:58:00,2024-10-14 18:45:00,Módulo 2 A-11,iPad,1:47,107
LENGUA Y LITERATURAS HISPANICAS,C04,C20,2024-10-14 16:55:00,2024-10-14 18:45:00,Módulo 2 A-11,Chromebook,1:50,110
ARQUITECTURA,C05,L17,2024-10-14 16:57:00,2024-10-14 18:45:00,Módulo 2 A-11,Laptop,1:48,108
ARQUITECTURA,C05,L15,2024-10-14 16:56:00,2024-10-14 18:45:00,Módulo 2 A-11,Laptop,1:49,109
ENSEÃ‘ANZA DE INGLES,C04,C19,2024-10-14 16:49:00,2024-10-14 18:45:00,Módulo 2 A-11,Chromebook,1:56,116
COMUNICACION,C05,C17,2024-10-14 16:44:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:01,121
ARQUITECTURA,C05,L14,2024-10-14 16:47:00,2024-10-14 18:45:00,Módulo 2 A-11,Laptop,1:58,118
ARQUITECTURA,C05,C16,2024-10-14 16:43:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Chromebook,2:02,122
ECONOMIA,C02,L06,2024-10-14 16:42:00,2024-10-14 18:45:00,Módulo 1 Explanada M@C,Laptop,2:03,123
ECONOMIA,C04,C18,2024-10-14 16:42:00,2024-10-14 18:45:00,Módulo 2 A-11,Chromebook,2:03,123
PEDAGOGIA,C04,C17,2024-10-14 16:29:00,2024-10-14 18:45:00,Módulo 2 A-11,Chromebook,2:16,136
FILOSOFIA,C04,C16,2024-10-14 16:28:00,2024-10-14 18:45:00,Módulo 2 A-11,Chromebook,2:17,137
COMUNICACION,C04,C15,2024-10-14 16:21:00,2024-10-14 18:45:00,Módulo 2 A-11,Chromebook,2:24,144
